zinc_id,smiles
ZINC000000002583,CC(=O)ON1CC(C)(C)c2cc3nc[nH]c3cc21
ZINC000000002585,CC(=O)ON1CC(C)(C)c2cc3nc(C(F)(F)F)[nH]c3cc21
ZINC000000002589,CC(=O)ON1CC(C)(C)c2cc3nc(-c4ccnnc4)[nH]c3cc21
ZINC000000002667,CC1(C)C(=O)C(C(=O)Nc2ccccc2)=C(O)C(C)(C)C1=O
ZINC000000002675,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N
ZINC000000002730,C=C(C[P@@](=O)(O)[C@@H](C)N)C(=O)O
ZINC000000002799,C=C[C@@H](O)CC[C@@H]1C(C)(C)C[C@@H](O)C[C@@]1(C)O
ZINC000000002800,C=C[C@@H](O)CCC[C@@H]1C(C)(C)C[C@@H](O)C[C@@]1(C)O
ZINC000000002802,C=C[C@@H](O)CC[C@@H]1C(C)(C)[C@@H](O)C[C@@]1(C)O
ZINC000000002803,C=C[C@@H](O)CCC[C@@H]1C(C)(C)[C@@H](O)C[C@@]1(C)O
ZINC000000002857,N#Cc1ccc(Nc2ncnc3c2CC[C@@H]3O)cc1
ZINC000000002908,CC(=O)N(O)Cc1ccc(OCc2ccccc2)cc1
ZINC000000002914,CC(=O)OC1=C[C@@H](C)O[C@@H](n2cnc3c2c(=O)n(C)c(=O)n3C)C1=O
ZINC000000002930,CN(C)c1noc(Cc2cccc(/C(=N/O)c3ccccc3)c2)n1
ZINC000000002931,C[C@@H](c1cccc(/C(=N/O)c2ccccc2)c1)c1nc(N)no1
ZINC000000002983,C=C(Cl)CN1CCNC(=O)c2sc3ccc(OC)cc3c21
ZINC000000003017,N#C[C@H]1C[C@@H]1c1c[nH]cn1
ZINC000000003022,O/N=C/[C@H]1C[C@@H]1c1c[nH]cn1
ZINC000000003046,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)C1=CC2=O
ZINC000000003047,CC(C)C1=CC2=CC(=O)[C@@H]3C(C)(C)CCC[C@@]3(C)C2=C(O)C1=O
ZINC000000003061,COC1=C2C(=NC(=O)C2(C)C)c2ccccc2C1=O
ZINC000000003072,N#Cc1c(O)c(O)cc2ccccc12
ZINC000000003107,CC(=O)/C=C\Sc1ncnc2[nH]cnc12
ZINC000000003111,O=c1ccn2c(=O)n1CC#C/C=C\C#CC2
ZINC000000003127,CO/N=C1\CCCc2[nH]cc(C(=O)Nc3ccccc3F)c21
ZINC000000003171,C=CCN(CC=C)C(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12
ZINC000000003173,N#Cc1ccc(N2CCOCC2)cc1C(F)(F)F
ZINC000000003174,N#Cc1ccc(N2CCC(O)CC2)cc1C(F)(F)F
ZINC000000003175,CCOC1CCN(c2ccc(C#N)c(C(F)(F)F)c2)CC1
ZINC000000003176,N#Cc1ccc(N2CCC(=O)CC2)cc1C(F)(F)F
ZINC000000003186,Cc1nc(-c2ccc(O)c(C#N)c2)sc1C(=O)O
ZINC000000003188,Cc1nc(-c2ccc(OC[C@@H](C)CO)c(C#N)c2)sc1C(=O)O
ZINC000000003212,CCOc1ccnc(N2CCN(C(=O)c3sccc3C#N)CC2)n1
ZINC000000003248,C/C(=N\NC(N)=S)c1ccc(Cl)c(Cl)c1
ZINC000000003249,CC/C(=N\NC(N)=S)c1cccc(C(F)(F)F)c1
ZINC000000003281,Nc1ncnc2c1ncn2[C@H]1CC[C@@H](C(=O)NO)C1
ZINC000000003282,Nc1ncnc2c1ncn2[C@H]1C=C[C@H](C(=O)NO)C1
ZINC000000003283,Nc1ncnc2c1ncn2[C@@H]1C=C[C@@H](C(=O)NO)C1
ZINC000000003288,Cc1cnn2c(-c3cccc(-c4ccccc4C#N)c3)cnc2n1
ZINC000000003344,N#Cc1cccc(-c2nc(Nc3cnccn3)sc2-n2cncn2)c1
ZINC000000003345,CC[C@@]12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2
ZINC000000003372,C=CCN(C)CCCc1ccc2c(ccn2-c2ccc(F)cc2)c1
ZINC000000003373,CCN(CC#Cc1ccc2c(ccn2-c2ccc(F)cc2)c1)CCO
ZINC000000003383,COc1ccc(C2=N[C@@H](C(=O)NO)CO2)cc1OC(F)(F)F
ZINC000000003399,CCc1nc(C#N)c(N2CCc3ccccc3CC2)nc1C
ZINC000000003400,N#Cc1nccnc1N1CCc2ccccc2CC1
ZINC000000003436,Cc1nc(C#Cc2ccccc2)c([N+](=O)[O-])n1C
ZINC000000003444,N#Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12
ZINC000000003458,CC1(C)CN(C2=CCCC2=O)c2cc([N+](=O)[O-])ccc2S1
ZINC000000003459,CC1(C)CN(C2=CCCC2=O)c2cc(C(F)(F)F)ccc2S1
ZINC000000003469,C[C@H]1CC2=CC(=O)CC[C@H]2[C@@H]2[C@@H]1[C@@H]1CC[C@@H](O)[C@]1(C)C[C@H]2Cl
ZINC000000003470,CC[C@H]1CC2=CC(=O)CC[C@H]2[C@@H]2[C@@H]1[C@@H]1CC[C@@H](O)[C@]1(C)C[C@H]2F
ZINC000000003471,C[C@@]12C[C@@H](F)[C@H]3[C@@H]4CCC(=O)C=C4C[C@H](CF)[C@@H]3[C@H]1CC[C@@H]2O
